07-19-2025 19:06:35 INFO  allProductTest.SauceDemoWebsite.verifyAddProductAndPlaceOrder - Application launched successfully.
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: standard_user in element: //input[@id='user-name']
07-19-2025 19:06:36 INFO  allProductTest.SauceDemoWebsite.verifyAppLogoAndProductTitle - Application launched successfully.
07-19-2025 19:06:36 INFO  allProductTest.SauceDemoWebsite.verifyHamburgerMenuSubOptions - Application launched successfully.
07-19-2025 19:06:36 INFO  allProductTest.SauceDemoWebsite.verifyProductFilterOptions - Application launched successfully.
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: secret_sauce in element: //input[@id='password']
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: standard_user in element: //input[@id='user-name']
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: standard_user in element: //input[@id='user-name']
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: secret_sauce in element: //input[@id='password']
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: standard_user in element: //input[@id='user-name']
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: secret_sauce in element: //input[@id='password']
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //input[@id='login-button']
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Logged in into SauceDemo successfully....
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: secret_sauce in element: //input[@id='password']
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //input[@id='login-button']
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Logged in into SauceDemo successfully....
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Text retrieved from element: //div[@class='app_logo']
07-19-2025 19:06:36 INFO  allProductTest.SauceDemoWebsite.verifyAppLogoAndProductTitle - Verifying App Logo...
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Text retrieved from element: //span[@class='title']
07-19-2025 19:06:36 INFO  allProductTest.SauceDemoWebsite.verifyAppLogoAndProductTitle - Verifying Product Title...
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //div[text() = 'Sauce Labs Backpack']//ancestor::div[@class='inventory_item_label']//following-sibling::div//button
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //input[@id='login-button']
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Logged in into SauceDemo successfully....
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //input[@id='login-button']
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Logged in into SauceDemo successfully....
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //a[contains(@class, 'shopping_cart')]
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Text retrieved from element: //div[contains(@class, 'item_name')]
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //button[contains(@id, 'burger-menu')]
07-19-2025 19:06:36 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Application launched successfully.
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Waiting for visibility of element: [[EdgeDriver: MicrosoftEdge on windows (0849af5ce64605722c79d8d2ed46fc7f)] -> xpath: //a[contains(@class, 'menu-item')]]
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Waiting for visibility of element: [[EdgeDriver: MicrosoftEdge on windows (0849af5ce64605722c79d8d2ed46fc7f)] -> xpath: //a[contains(@class, 'menu-item')]]
07-19-2025 19:06:36 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Waiting for visibility of element: [[EdgeDriver: MicrosoftEdge on windows (0849af5ce64605722c79d8d2ed46fc7f)] -> xpath: //a[contains(@class, 'menu-item')]]
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Waiting for visibility of element: [[EdgeDriver: MicrosoftEdge on windows (0849af5ce64605722c79d8d2ed46fc7f)] -> xpath: //a[contains(@class, 'menu-item')]]
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //button[@id='checkout']
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: standard_user in element: //input[@id='user-name']
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: Gulshan in element: //input[@id='first-name']
07-19-2025 19:06:37 INFO  allProductTest.SauceDemoWebsite.verifyAppLogoAndProductTitle - Browser closed successfully.
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: secret_sauce in element: //input[@id='password']
07-19-2025 19:06:37 INFO  allProductTest.SauceDemoWebsite.verifyProductFilterOptions - Browser closed successfully.
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: Kumar in element: //input[@id='last-name']
07-19-2025 19:06:37 INFO  allProductTest.SauceDemoWebsite.verifyHamburgerMenuSubOptions - Browser closed successfully.
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: 119982 in element: //input[@id='postal-code']
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //input[@id='login-button']
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Logged in into SauceDemo successfully....
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Selected 'Name (A to Z)' from dropdown with class name: product_sort_container
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //input[@id='continue']
07-19-2025 19:06:37 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Applied filter: Name (A to Z)
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Text retrieved from element: //div[contains(@class, 'item_name')]
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Waiting for visibility of element: [[EdgeDriver: MicrosoftEdge on windows (b1223fe0923dd044a1b9ba8a7d6d7c6e)] -> xpath: //button[@id = 'finish']]
07-19-2025 19:06:37 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Captured product names: [Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt, Sauce Labs Fleece Jacket, Sauce Labs Onesie, Test.allTheThings() T-Shirt (Red)]
07-19-2025 19:06:37 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - ✅ Products are sorted in Name (A to Z) order.
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //button[@id = 'finish']
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Text retrieved from element: //h2[@class= 'complete-header']
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Text retrieved from element: //div[@class='complete-text']
07-19-2025 19:06:37 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Browser closed successfully.
07-19-2025 19:06:37 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //button[@id='back-to-products']
07-19-2025 19:06:37 INFO  allProductTest.SauceDemoWebsite.verifyAddProductAndPlaceOrder - Browser closed successfully.
07-19-2025 19:06:38 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Application launched successfully.
07-19-2025 19:06:38 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: standard_user in element: //input[@id='user-name']
07-19-2025 19:06:39 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: secret_sauce in element: //input[@id='password']
07-19-2025 19:06:39 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //input[@id='login-button']
07-19-2025 19:06:39 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Logged in into SauceDemo successfully....
07-19-2025 19:06:39 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Selected 'Name (Z to A)' from dropdown with class name: product_sort_container
07-19-2025 19:06:39 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Applied filter: Name (Z to A)
